x y
 0.83881 -0.42067
 0.56609 -1.26203
 0.25186  1.01483
 0.57160 -1.94351
 0.12607 -0.21110
 0.72192 -0.42399
 0.42728 -0.32827
 0.12720  1.38374
 0.51317  4.55934
 0.78637 -1.39068
 0.93544 -3.20586
 0.58246  0.87637
 0.67022  0.68982
 0.12147  0.83284
 0.34203  0.11044
 0.02375  0.96971
 0.15483  1.09346
 0.25029  0.56058
 0.66779 -1.37797
 0.20272  0.52093
 0.31602  1.03093
 0.72764 -1.22862
 0.27754  1.06582
 0.09827  4.20652
 0.05229 -0.44988
 0.57494 -1.60442
 0.31665  1.61260
 0.23098  2.13728
 0.73794 -1.70405
 0.92275 -1.30844
 0.79510 -1.33975
 0.29625 -0.07963
 0.84396 -2.44540
 0.04642  2.07374
 0.67093 -2.55692
 0.15803  1.10197
 0.40786 -0.52444
 0.84800 -1.72503
 0.92850 -1.76889
 0.14042  2.68297
 0.29261  0.97730
 0.57536 -3.34296
 0.18632  0.59380
 0.19225  1.43788
 0.92967 -4.40096
 0.77105 -2.31590
 0.14922  2.70698
 0.25584  1.66121
 0.31815  1.12971
 0.80116 -2.13556
